,NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
13,Los Angeles Chargers,8,8,0,0.500,439,347,92,5 - 3 - 0,3 - 5 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,1 - 3 - 0,4W,4 - 1 - 0
14,New Orleans Saints,8,8,0,0.500,463,393,70,6 - 2 - 0,2 - 6 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,3 - 1 - 0,1L,2 - 3 - 0
15,Washington Commanders,8,8,0,0.500,265,296,-31,4 - 4 - 0,4 - 4 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,1 - 3 - 0,1L,1 - 4 - 0
16,Arizona Cardinals,9,7,0,0.563,427,426,1,6 - 2 - 0,3 - 5 - 0,6 - 0 - 0,1.000,7 - 5 - 0,0.583,2 - 2 - 0,1W,2 - 3 - 0
17,Chicago Bears,9,7,0,0.563,375,350,25,6 - 2 - 0,3 - 5 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,2 - 2 - 0,1L,3 - 2 - 0
18,Dallas Cowboys,9,7,0,0.563,362,365,-3,6 - 2 - 0,3 - 5 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,2L,2 - 3 - 0
19,New York Jets,9,7,0,0.563,405,356,49,5 - 3 - 0,4 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,2 - 2 - 0,2L,1 - 4 - 0
20,Philadelphia Eagles,9,6,1,0.594,416,289,127,6 - 2 - 0,3 - 4 - 1,2 - 4 - 0,0.333,7 - 5 - 0,0.583,2 - 1 - 1,1W,4 - 1 - 0
21,Tampa Bay Buccaneers,9,7,0,0.563,361,323,38,6 - 2 - 0,3 - 5 - 0,3 - 3 - 0,0.500,8 - 4 - 0,0.667,1 - 3 - 0,4L,1 - 4 - 0
22,Minnesota Vikings,10,6,0,0.625,379,333,46,6 - 2 - 0,4 - 4 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,2 - 2 - 0,1W,4 - 1 - 0
23,Atlanta Falcons,11,5,0,0.688,391,325,66,7 - 1 - 0,4 - 4 - 0,3 - 3 - 0,0.500,8 - 4 - 0,0.667,3 - 1 - 0,3W,4 - 1 - 0
24,Baltimore Ravens,11,5,0,0.688,385,244,141,6 - 2 - 0,5 - 3 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,3 - 1 - 0,2W,4 - 1 - 0
25,Miami Dolphins,11,5,0,0.688,345,317,28,5 - 3 - 0,6 - 2 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,3 - 1 - 0,5W,5 - 0 - 0
26,New England Patriots,11,5,0,0.688,410,309,101,5 - 3 - 0,6 - 2 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,4 - 0 - 0,4W,4 - 1 - 0
27,Carolina Panthers,12,4,0,0.750,414,329,85,8 - 0 - 0,4 - 4 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,4 - 0 - 0,1W,4 - 1 - 0
28,Indianapolis Colts,12,4,0,0.750,377,298,79,6 - 2 - 0,6 - 2 - 0,4 - 2 - 0,0.667,10 - 2 - 0,0.833,2 - 2 - 0,9W,5 - 0 - 0
29,New York Giants,12,4,0,0.750,427,294,133,7 - 1 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,3 - 1 - 0,1L,2 - 3 - 0
30,Pittsburgh Steelers,12,4,0,0.750,347,223,124,6 - 2 - 0,6 - 2 - 0,6 - 0 - 0,1.000,10 - 2 - 0,0.833,2 - 2 - 0,1W,4 - 1 - 0
31,Tennessee Titans,13,3,0,0.813,375,234,141,7 - 1 - 0,6 - 2 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,4 - 0 - 0,1L,3 - 2 - 0
